Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra
80.18	28.40	-9.80	87.05	0.61	6.65	0.00	-49.02	86.96	-40.14	131.05	47.82	7.17	0.00	-30.50	-46.07	-41.04	45.75	-64.78	5.56	0.00	37.09	23.07	-52.69	90.64	17.38	8.73	0.00	53.71	24.87	-59.13	113.29	4.66	9.49	0.00	71.42	27.28	-69.09	74.40	24.30	0.54	0.00	80.22	27.60	-84.20	-89.28	-4.12	1.20	0.00	84.39	28.29	-94.16	80.93	0.28	0.98	0.00	96.74	29.07	-57.59	105.15	10.55	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.16	28.39	-9.81	87.04	0.63	7.93	0.00	-49.02	86.97	-40.14	131.03	47.84	7.63	0.00	-30.48	-46.07	-41.03	45.76	-64.79	4.65	0.00	37.29	23.03	-52.69	90.70	17.29	9.50	0.00	53.76	24.90	-59.16	113.31	4.61	9.60	0.00	71.62	27.32	-69.09	74.43	24.27	0.45	0.00	80.29	27.55	-84.16	-89.29	-4.06	1.44	0.00	84.38	28.35	-94.21	80.93	0.31	0.71	0.00	96.82	29.06	-57.66	105.14	10.55	6.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.14	28.39	-9.82	87.03	0.64	7.55	0.00	-49.02	86.98	-40.14	131.02	47.85	7.36	0.00	-30.46	-46.07	-41.03	45.77	-64.79	6.29	0.00	37.37	23.02	-52.69	90.74	17.24	8.57	0.00	53.78	24.95	-59.20	113.35	4.58	9.18	0.00	71.68	27.32	-69.09	74.46	24.28	0.16	0.00	80.28	27.53	-84.15	-89.29	-4.04	1.94	0.00	84.37	28.37	-94.24	80.92	0.33	0.45	0.00	96.85	29.06	-57.75	105.13	10.55	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.11	28.38	-9.84	87.02	0.66	7.39	0.00	-49.02	86.99	-40.15	131.01	47.86	7.14	0.00	-30.45	-46.07	-41.02	45.77	-64.79	7.07	0.00	37.31	23.04	-52.69	90.78	17.23	8.91	0.00	53.79	25.02	-59.26	113.39	4.55	10.88	0.00	71.65	27.30	-69.11	74.50	24.32	0.07	0.00	80.22	27.52	-84.17	-89.30	-4.07	1.33	0.00	84.36	28.37	-94.25	80.91	0.32	0.62	0.00	96.82	29.07	-57.82	105.13	10.56	7.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.09	28.38	-9.85	87.02	0.67	7.08	0.00	-49.02	86.99	-40.15	131.00	47.87	7.06	0.00	-30.44	-46.07	-41.02	45.78	-64.79	5.99	0.00	37.25	23.06	-52.68	90.83	17.21	7.62	0.00	53.80	25.05	-59.29	113.45	4.52	10.12	0.00	71.68	27.31	-69.14	74.53	24.36	1.15	0.00	80.16	27.51	-84.18	-89.31	-4.10	1.65	0.00	84.35	28.37	-94.27	80.90	0.31	1.77	0.00	96.77	29.06	-57.81	105.10	10.57	6.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.07	28.37	-9.86	87.01	0.68	7.80	0.00	-49.02	87.00	-40.15	131.00	47.88	6.96	0.00	-30.43	-46.08	-41.02	45.79	-64.79	5.30	0.00	37.28	23.03	-52.66	90.89	17.17	8.81	0.00	53.83	25.03	-59.29	113.51	4.44	10.02	0.00	71.80	27.35	-69.15	74.52	24.36	0.51	0.00	80.16	27.49	-84.18	-89.31	-4.10	1.90	0.00	84.35	28.37	-94.28	80.90	0.29	0.67	0.00	96.73	29.06	-57.71	105.06	10.59	7.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.06	28.37	-9.86	87.01	0.69	6.79	0.00	-49.01	87.00	-40.15	131.00	47.89	7.03	0.00	-30.42	-46.08	-41.02	45.79	-64.79	5.33	0.00	37.36	22.99	-52.62	90.96	17.09	9.50	0.00	53.88	24.99	-59.27	113.57	4.34	9.82	0.00	71.89	27.36	-69.15	74.50	24.37	0.66	0.00	80.19	27.49	-84.19	-89.31	-4.09	1.51	0.00	84.38	28.35	-94.26	80.89	0.29	0.26	0.00	96.73	29.05	-57.63	105.02	10.59	6.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.04	28.37	-9.87	87.00	0.70	7.24	0.00	-49.00	87.00	-40.15	131.00	47.89	7.18	0.00	-30.42	-46.08	-41.02	45.79	-64.78	5.63	0.00	37.39	22.98	-52.61	91.05	17.05	9.61	0.00	53.91	24.98	-59.27	113.63	4.25	9.91	0.00	71.87	27.34	-69.15	74.50	24.41	0.45	0.00	80.22	27.52	-84.22	-89.31	-4.09	1.72	0.00	84.41	28.31	-94.22	80.88	0.29	0.28	0.00	96.76	29.05	-57.65	105.02	10.58	6.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.03	28.37	-9.88	87.00	0.71	7.58	0.00	-49.00	87.00	-40.15	131.00	47.89	7.60	0.00	-30.41	-46.08	-41.01	45.79	-64.78	6.05	0.00	37.33	23.04	-52.63	91.13	17.07	7.96	0.00	53.91	25.03	-59.30	113.67	4.21	9.65	0.00	71.82	27.31	-69.16	74.55	24.47	0.26	0.00	80.23	27.57	-84.23	-89.31	-4.09	2.13	0.00	84.44	28.31	-94.20	80.89	0.28	0.02	0.00	96.81	29.07	-57.75	105.02	10.56	7.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.02	28.38	-9.88	87.00	0.72	7.50	0.00	-48.99	87.00	-40.14	131.00	47.89	6.85	0.00	-30.41	-46.08	-41.01	45.79	-64.78	6.03	0.00	37.24	23.13	-52.68	91.21	17.11	9.09	0.00	53.92	25.11	-59.35	113.72	4.20	10.36	0.00	71.84	27.33	-69.18	74.65	24.50	0.41	0.00	80.24	27.60	-84.21	-89.31	-4.10	1.96	0.00	84.43	28.35	-94.22	80.90	0.26	1.35	0.00	96.84	29.08	-57.82	105.02	10.56	6.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
